Akaa,16923
Alajärvi,9899
Alavieska,2639
Alavus,11907
Asikkala,8323
Askola,5046
Aura,3984
Brändö,471
Eckerö,928
Enonkoski,1453
Enontekiö,1872
Espoo,274583
Eura,12004
Eurajoki,9418
Evijärvi,2535
Finström,2594
Forssa,17332
Föglö,561
Geta,499
Haapajärvi,7332
Haapavesi,7098
Hailuoto,994
Halsua,1219
Hamina,20636
Hammarland,1508
Hankasalmi,5159
Hanko,8663
Harjavalta,7240
Hartola,2924
Hattula,9682
Hausjärvi,8641
Heinola,19350
Heinävesi,3514
Helsinki,635181
Hirvensalmi,2274
Hollola,23791
Honkajoki,1759
Huittinen,10403
Humppila,2345
Hyrynsalmi,2406
Hyvinkää,46596
Hämeenkyrö,10681
Hämeenlinna,67850
Ii,9628
Iisalmi,21767
Iitti,6889
Ikaalinen,7128
Ilmajoki,12167
Ilomantsi,5237
Imatra,27517
Inari,6825
Inkoo,5585
Isojoki,2079
Isokyrö,4712
Janakkala,16709
Joensuu,75848
Jokioinen,5341
Jomala,4757
Joroinen,5039
Joutsa,4673
Juuka,4938
Juupajoki,1957
Juva,6421
Jyväskylä,138850
Jämijärvi,1915
Jämsä,21259
Järvenpää,41529
Kaarina,32738
Kaavi,3154
Kajaani,37521
Kalajoki,12586
Kangasala,31190
Kangasniemi,5603
Kankaanpää,11637
Kannonkoski,1424
Kannus,5578
Karijoki,1349
Karkkila,8911
Karstula,4232
Karvia,2449
Kaskinen,1296
Kauhajoki,13772
Kauhava,16599
Kauniainen,9397
Kaustinen,4298
Keitele,2346
Kemi,21602
Kemijärvi,7661
Keminmaa,8316
Kemiönsaari,6872
Kempele,17297
Kerava,35511
Keuruu,9992
Kihniö,1994
Kinnula,1699
Kirkkonummi,39033
Kitee,10719
Kittilä,6383
Kiuruvesi,8444
Kivijärvi,1161
Kokemäki,7498
Kokkola,47723
Kolari,3827
Konnevesi,2753
Kontiolahti,14806
Korsnäs,2171
KoskiTl,2416
Kotka,54187
Kouvola,85306
Kristiinankaupunki,6727
Kruunupyy,6620
Kuhmo,8647
Kuhmoinen,2286
Kumlinge,308
Kuopio,117740
Kuortane,3690
Kurikka,21501
Kustavi,908
Kuusamo,15533
Kyyjärvi,1375
Kärkölä,4540
Kärsämäki,2655
Kökar,246
Lahti,119452
Laihia,8139
Laitila,8520
Lapinjärvi,2739
Lapinlahti,9882
Lappajärvi,3176
Lappeenranta,72872
Lapua,14575
Laukaa,18970
Lemi,3076
Lemland,2012
Lempäälä,22745
Leppävirta,9865
Lestijärvi,811
Lieksa,11580
Lieto,19418
Liminka,10000
Liperi,12301
Lohja,47149
Loimaa,16267
Loppi,8098
Loviisa,15208
Luhanka,756
Lumijoki,2105
Lumparland,385
Luoto,5176
Luumäki,4831
Maalahti,5517
Maarianhamina,11565
Marttila,2021
Masku,9675
Merijärvi,1131
Merikarvia,3169
Miehikkälä,2034
Mikkeli,54517
Muhos,8995
Multia,1663
Muonio,2350
Mustasaari,19380
Muurame,9941
Mynämäki,7842
Myrskylä,1986
Mäntsälä,20853
Mänttä-Vilppula,10448
Mäntyharju,6097
Naantali,19068
Nakkila,5548
Nivala,10889
Nokia,33210
Nousiainen,4815
Nurmes,7885
Nurmijärvi,42010
Närpiö,9439
Orimattila,16279
Oripää,1363
Orivesi,9312
Oulainen,7514
Oulu,200526
Outokumpu,7091
Padasjoki,3073
Paimio,10713
Paltamo,3491
Parainen,15398
Parikkala,5126
Parkano,6692
Pedersöre,11067
Pelkosenniemi,951
Pello,3565
Perho,2907
Pertunmaa,1796
Petäjävesi,3981
Pieksämäki,18475
Pielavesi,4697
Pietarsaari,19377
Pihtipudas,4202
Pirkkala,19163
Polvijärvi,4514
Pomarkku,2233
Pori,85059
Pornainen,5108
Porvoo,50144
Posio,3424
Pudasjärvi,8187
Pukkila,1988
Punkalaidun,3003
Puolanka,2735
Puumala,2234
Pyhtää,5340
Pyhäjoki,3188
Pyhäjärvi,5446
Pyhäntä,1579
Pyhäranta,2075
Pälkäne,6627
Pöytyä,8503
Raahe,25010
Raasepori,28077
Raisio,24283
Rantasalmi,3649
Ranua,4023
Rauma,39614
Rautalampi,3288
Rautavaara,1723
Rautjärvi,3473
Reisjärvi,2854
Riihimäki,29160
Ristijärvi,1345
Rovaniemi,62231
Ruokolahti,5245
Ruovesi,4565
Rusko,6137
Rääkkylä,2268
Saarijärvi,9690
Salla,3653
Salo,53546
Saltvik,1839
Sastamala,25062
Sauvo,3047
Savitaipale,3534
Savonlinna,35242
Savukoski,1044
Seinäjoki,62052
Sievi,5069
Siikainen,1494
Siikajoki,5366
Siikalatva,5583
Siilinjärvi,21768
Simo,3170
Sipoo,19922
Siuntio,6178
Sodankylä,8653
Soini,2186
Somero,9027
Sonkajärvi,4199
Sotkamo,10471
Sottunga,96
Sulkava,2661
Sund,1006
Suomussalmi,8187
Suonenjoki,7312
Sysmä,3953
Säkylä,6988
Taipalsaari,4832
Taivalkoski,4133
Taivassalo,1622
Tammela,6241
Tampere,228274
Tervo,1611
Tervola,3099
Teuva,5363
Tohmajärvi,4653
Toholampi,3232
Toivakka,2432
Tornio,22117
Turku,187604
Tuusniemi,2643
Tuusula,38588
Tyrnävä,6750
Ulvila,13312
Urjala,4858
Utajärvi,2824
Utsjoki,1241
Uurainen,3717
Uusikaarlepyy,7516
Uusikaupunki,15404
Vaala,3040
Vaasa,67620
Valkeakoski,21346
Valtimo,2245
Vantaa,219341
Varkaus,21468
Vehmaa,2277
Vesanto,2148
Vesilahti,4462
Veteli,3259
Vieremä,3721
Vihti,28967
Viitasaari,6607
Vimpeli,3025
Virolahti,3267
Virrat,6917
Vårdö,439
Vöyri,6684
Ylitornio,4200
Ylivieska,15199
Ylöjärvi,32799
Ypäjä,2382
Ähtäri,5985
Äänekoski,19374
